Cloud or On-Premise,Lead Source,Opportunity Owner,Stage,Close Date,Type,Amount,Company Country (CB),Company Industry (CB)
,Web,Steve,Requalify,3/18/2022,New,1000,United States,Distributors
Cloud A,,Steve,Lost,6/25/2021,New,1000,United States,Distributors
Cloud B,,Steve,Lost,8/27/2021,New,1000,Canada,Distributors
Cloud B,,Steve,Lost,1/4/2021,New,1000,United States,Distributors
,,Susans,Lost,9/29/2017,New,1000,United States,Distributors
,,Susans,Lost,6/30/2017,Upsell,1000,United States,Distributors
,,Susans,Lost,6/30/2016,Upsell,1000,United States,Distributors
,,Susans,Lost,11/30/2016,Upsell,1000,United States,Distributors
,,Susans,Lost,12/15/2017,Upsell,1000,United States,Distributors
,,Susans,Lost,6/30/2016,Upsell,1000,United States,Distributors
,Partner,Susans,Lost,9/29/2017,New,1000,United States,Distributors
,,Susans,Lost,3/30/2018,New,1000,Switzerland,Distributors
,,Susans,Lost,4/30/2018,Upsell,1000,United States,Distributors
,,Susans,Lost,12/29/2017,Upsell,1000,United States,Distributors
On-Premise,,Susans,Lost,9/30/2017,Upsell,1000,Canada,Distributors
,,Susans,Lost,12/15/2017,New,1000,United States,Distributors
,,Susans,Lost,6/30/2016,Upsell,1000,United States,Distributors
,,Susans,Lost,3/31/2016,Upsell,1000,United States,Distributors
,,Susans,Lost,3/30/2018,New,1000,United States,Distributors
On-Premise,,Susans,Lost,7/31/2018,New,1000,United States,Distributors
,,Susans,Lost,12/30/2016,New,1000,Switzerland,Distributors
,,Susans,Lost,12/31/2016,Upsell,1000,United States,Distributors
,,Susans,Lost,9/29/2017,New,1000,United States,Distributors
,,Susans,Lost,6/29/2018,New,1000,United States,Distributors
,,Susans,Lost,12/31/2016,Upsell,1000,United States,Distributors
,,Susans,Lost,12/23/2016,New,1000,United States,Distributors
,,Susans,Lost,9/28/2018,New,1000,United States,Distributors
,Partner,Susans,Lost,12/31/2016,Upsell,1000,United States,Distributors
,,Susans,Lost,6/30/2017,New,1000,United Kingdom,Distributors
,Partner,Susans,Lost,12/29/2017,Upsell,1000,United States,Distributors
,,Susans,Lost,3/31/2014,,1000,United States,Distributors
On-Premise,,Susans,Lost,3/31/2016,Upsell,1000,United States,Distributors
,,Susans,Lost,6/30/2017,New,1000,United States,Distributors
,,Susans,Lost,6/30/2016,Upsell,1000,United States,Distributors
,,Susans,Lost,9/29/2017,New,1000,United States,Distributors
,,Susans,Lost,12/30/2016,Upsell,1000,United States,Distributors
,,Susans,Lost,8/23/2018,Upsell,1000,United States,Distributors
,,Susans,Lost,12/30/2016,Upsell,1000,United States,Distributors
,,Susans,Lost,12/30/2016,Upsell,1000,United States,Distributors
,,Susans,Lost,12/30/2016,Upsell,1000,United States,Distributors
,Web,Susans,Lost,6/30/2016,Upsell,1000,United States,Distributors
,,Susans,Lost,6/30/2016,Upsell,1000,United States,Distributors
On-Premise,,Susans,Lost,9/28/2018,New,1000,United States,Distributors
,,Susans,Lost,12/30/2016,Upsell,1000,United States,Distributors
,,Susans,Lost,9/29/2017,New,1000,Canada,Distributors
,,Susans,Lost,6/30/2017,Upsell,1000,United States,Distributors
,Partner,Susans,Lost,12/29/2016,Upsell,1000,United States,Distributors
,Partner,Susans,Lost,12/31/2016,Upsell,1000,United States,Distributors
,,Susans,Lost,9/29/2017,Upsell,1000,United States,Distributors
,,Susans,Lost,12/31/2018,New,1000,United States,Distributors
,,Susans,Lost,9/29/2017,New,1000,United States,Distributors
,,Susans,Lost,12/22/2016,Upsell,1000,United States,Distributors
,,Susans,Lost,12/22/2017,Upsell,1000,United States,Distributors
Cloud B,Partner,Susans,Lost,11/30/2018,New,1000,United States,Distributors
,,Susans,Lost,3/23/2018,New,1000,United States,Distributors
,,Susans,Lost,12/15/2017,New,1000,United States,Distributors
,,Susans,Lost,3/31/2017,Upsell,1000,United States,Distributors
On-Premise,,Susans,Lost,12/31/2016,Upsell,1000,United States,Distributors
,,Susans,Lost,9/29/2017,New,1000,United States,Distributors
,,Susans,Lost,12/31/2016,Upsell,1000,United States,Distributors
,,Susans,Lost,12/31/2016,New,1000,United States,Distributors
,Partner,Tom,Requalify,12/28/2021,Upsell,1000,Colombia,Distributors
,,Tom,Lost,6/30/2014,,1000,United States,Distributors
,,Tom,Lost,11/30/2016,Upsell,1000,United States,Distributors
,,Tom,Lost,3/31/2015,,1000,United States,Distributors
,Web,Tom,Requalify,3/31/2022,New,1000,France,Distributors
,Web,Tom,Requalify,1/15/2021,New,1000,United States,Distributors
,Partner,Tom,Requalify,12/31/2021,New,1000,Germany,Distributors
Cloud C,Partner,Tom,Won,12/15/2020,Renewal,1000,Colombia,Distributors
On-Premise,Partner,Tom,Won,8/19/2020,Upsell,1000,Colombia,Distributors
On-Premise,Web,Tom,Requalify,5/4/2021,New,1000,United States,Distributors
,,Tom,Lost,6/30/2016,,1000,United States,Distributors
,,Tom,Lost,9/29/2017,New,1000,Netherlands,Distributors
Cloud A,Web,Tom,Lost,3/1/2021,New,1000,Canada,Distributors
On-Premise,Partner,Tom,Won,8/5/2021,Renewal,1000,Colombia,Distributors
,,Tom,Lost,12/30/2016,Upsell,1000,United States,Distributors
Cloud C,Partner,Tom,Won,5/7/2020,Upsell,10000,Colombia,Distributors
Cloud C,Partner,Craig,Proposal,4/30/2022,Renewal,20000,Colombia,Distributors
Cloud C,Partner,Tom,Won,5/7/2021,Renewal,20000,Colombia,Distributors
,,Susans,Lost,12/31/2016,New,20000,Turkey,Distributors
Cloud C,Web,Alex,Won,2/25/2022,Renewal,20000,India,Distributors
Cloud C,Web,Alex,Proposal,3/21/2023,Renewal,20000,India,Distributors
Cloud C,Partner,Tom,Won,11/15/2019,New,20000,Colombia,Distributors
Cloud A,Web,Tom,Lost,1/24/2020,New,20000,United States,Distributors
,,Nancy,Proposal,6/30/2023,Renewal,20000,United States,Distributors
,Partner,Steve,Won,10/25/2021,Upsell,20000,United States,Distributors
Cloud B,Web,Alex,Won,11/25/2019,New,40000,India,Distributors
Cloud B,Web,Alex,Lost,12/4/2020,Renewal,40000,India,Distributors
Cloud B,Web,Alex,Lost,6/30/2020,New,40000,India,Distributors
Cloud C,Partner,Tom,Won,12/13/2021,Renewal,40000,Colombia,Distributors
Cloud C,Web,Craig,Proposal,12/26/2022,Renewal,40000,Colombia,Distributors
Cloud C,Web,Alex,Lost,9/29/2020,New,40000,Malaysia,Distributors
Cloud A,,Alex,Lost,2/25/2022,New,40000,India,Distributors
Cloud B,Web,Alex,Requalify,11/30/2020,New,40000,India,Distributors
On-Premise,Partner,Craig,Proposal,8/20/2022,Renewal,40000,Colombia,Distributors
Cloud B,,Steve,Lost,12/18/2020,New,40000,Switzerland,Distributors
,,Steve,Lost,6/26/2020,New,40000,United States,Distributors
On-Premise,Web,Dave,Lost,4/1/2022,New,50000,Netherlands,Distributors
On-Premise,Web,Steve,Lost,12/18/2020,New,50000,United States,Distributors
On-Premise,,Tom,Requalify,9/17/2020,New,50000,United Arab Emirates,Distributors
Cloud B,,Tom,Requalify,10/30/2020,New,50000,Nigeria,Distributors
,Web,Amy,Lost,6/30/2022,New,50000,United States,Distributors
Cloud B,,Paul,Lost,12/30/2021,New,50000,United States,Distributors
On-Premise,,Dave,Lost,10/30/2020,New,75000,United States,Distributors
Cloud A,,Dave,Lost,8/28/2020,New,75000,United States,Distributors
On-Premise,Web,Alex,Lost,3/31/2019,New,75000,India,Distributors
Cloud B,,Steve,Lost,4/19/2019,New,75000,United States,Distributors
Cloud A,,Steve,Lost,9/11/2020,New,80000,Germany,Distributors
Cloud B,,Steve,Lost,12/13/2019,New,80000,Canada,Distributors
On-Premise,Web,Dave,Requalify,2/11/2022,New,90000,Switzerland,Distributors
,Web,Paul,Validation,9/30/2022,New,90000,Germany,Distributors
,,Joe,Meeting,6/15/2022,New,100000,United States,Distributors
Cloud B,Partner,Paul,Validation,8/26/2022,New,100000,United States,Distributors
,Web,Steve,Lost,1/31/2022,New,100000,United States,Distributors
,,Susans,Lost,6/30/2016,Upsell,100000,United States,Distributors
On-Premise,,Susans,Lost,12/23/2019,New,100000,United States,Distributors
,,Susans,Lost,3/31/2016,Upsell,100000,United States,Distributors
,Web,Susans,Lost,10/16/2015,Upsell,100000,United States,Distributors
,,Susans,Lost,11/8/2014,Upsell,100000,United States,Distributors
,Web,Susans,Lost,7/31/2015,,100000,United States,Distributors
,,Susans,Lost,6/26/2018,New,100000,United States,Distributors
,,Susans,Lost,1/12/2016,Upsell,100000,United States,Distributors
,,Susans,Lost,12/30/2016,Upsell,100000,United States,Distributors
,,Susans,Lost,3/19/2018,New,100000,United States,Distributors
Cloud B,Web,Tom,Requalify,5/31/2022,New,100000,United States,Distributors
,Web,Tom,Lost,5/15/2020,New,100000,United States,Distributors
Cloud A,,Dave,Lost,6/26/2020,New,100000,United States,Distributors
Cloud B,,Steve,Lost,11/27/2020,New,100000,United States,Distributors
,Web,Dave,Requalify,7/1/2022,New,100000,United States,Distributors
,,Susans,Lost,6/30/2015,,100000,United States,Distributors
,,Craig,Qualification,5/16/2022,New,150000,United States,Distributors
Cloud A,Web,Dave,Lost,4/16/2021,New,150000,Netherlands,Distributors
,,Susans,Lost,12/15/2015,Upsell,150000,United States,Distributors
On-Premise,,Susans,Lost,9/30/2016,Upsell,150000,United States,Distributors
On-Premise,,Susans,Lost,6/30/2016,Upsell,150000,United States,Distributors
On-Premise,,Greg,Validation,6/30/2022,New,150000,United States,Distributors
,,Susans,Lost,4/4/2016,Upsell,150000,Brazil,Distributors
Cloud A,Web,Mary,Lost,3/16/2022,New,150000,United States,Distributors
,,Steve,Lost,9/18/2020,New,150000,Canada,Distributors
,,Susans,Lost,12/30/2016,Upsell,150000,United States,Distributors
,Partner,Craig,Validation,5/31/2022,New,200000,Mexico,Distributors
,,Joe,Meeting,9/21/2022,New,200000,United States,Distributors
Cloud C,Partner,Joe,Qualification,10/19/2023,New,200000,United States,Distributors
,Web,Susans,Lost,12/31/2015,Upsell,200000,United States,Distributors
,Web,Susans,Lost,10/23/2015,Upsell,200000,United States,Distributors
Cloud C,Partner,Susans,Won,10/31/2019,New,200000,United Kingdom,Distributors
On-Premise,,Sammy,Won,6/29/2018,Upsell,200000,Turkey,Distributors
,,Susans,Lost,3/27/2015,Upsell,200000,United States,Distributors
Cloud B,Partner,Nancy,Proposal,6/30/2022,Renewal,200000,United States,Distributors
,,Susans,Lost,10/17/2018,New,200000,United States,Distributors
,Web,Alex,Meeting,4/30/2021,New,1000,Australia,Distributors
Cloud A,,Dave,Lost,6/30/2020,New,1000,United States,Distributors
Cloud C,Partner,Dave,Lost,1/21/2022,New,1000,Italy,Distributors
,,Dave,Lost,1/21/2022,New,1000,United States,Distributors
,Web,Dave,Lost,3/24/2021,New,1000,Portugal,Distributors
,Web,Dave,Lost,10/4/2021,New,1000,Spain,Distributors
,Partner,Fred,Lost,3/2/2021,Partnership,1000,United States,Distributors
On-Premise,Web,Greg,Lost,8/2/2021,New,1000,United States,Distributors
,,Paul,Lost,3/31/2017,New,1000,United States,Distributors
,,Steve,Lost,12/15/2017,Upsell,1000,United States,Distributors
Cloud C,Web,Steve,Requalify,3/19/2021,New,1000,Canada,Distributors
,,Steve,Lost,12/29/2017,New,1000,United States,Distributors
,,Susans,Lost,6/30/2016,Upsell,1000,United States,Distributors
,,Susans,Lost,4/12/2018,Upsell,1000,United States,Distributors
,,Susans,Lost,6/30/2016,Upsell,1000,United States,Distributors
,,Susans,Lost,6/30/2017,Upsell,1000,United States,Distributors
,,Susans,Lost,3/31/2016,Renewal,1000,United States,Distributors
,,Susans,Lost,12/22/2017,Upsell,1000,United States,Distributors
On-Premise,,Susans,Lost,6/30/2016,Upsell,1000,United States,Distributors
,,Susans,Lost,6/30/2016,Upsell,1000,United States,Distributors
,,Susans,Lost,9/29/2017,Upsell,1000,United States,Distributors
,,Susans,Lost,3/2/2015,Upsell,1000,Brazil,Distributors
,,Susans,Lost,12/30/2016,Upsell,1000,United States,Distributors
Cloud A,Web,Tom,Lost,2/2/2021,New,1000,Chile,Distributors
On-Premise,Web,Tom,Won,7/10/2020,Renewal,1000,United States,Distributors
On-Premise,Event,Tom,Requalify,3/31/2021,New,1000,Russia,Distributors
,Partner,Tom,Won,2/23/2021,Renewal,1000,France,Distributors
,,Tom,Lost,12/31/2018,New,1000,United States,Distributors
,Web,Tom,Lost,9/29/2017,New,1000,Singapore,Distributors
Cloud C,Partner,Tom,Lost,3/13/2021,New,1000,France,Distributors
On-Premise,Web,Tom,Won,6/14/2021,Upsell,1000,United States,Distributors
,Web,Tom,Won,11/3/2020,New,1000,Mauritius,Distributors
,,Steve,Lost,2/29/2020,Renewal,8000,United States,Distributors
,,Susans,Won,3/29/2018,Renewal,8000,United States,Distributors
,,Susans,Won,2/22/2017,Renewal,8000,United States,Distributors
,,Susans,Won,2/9/2016,Renewal,8000,United States,Distributors
,,Susans,Lost,9/30/2015,Upsell,20000,United States,Distributors
Cloud A,,Dave,Lost,6/19/2020,New,20000,United States,Distributors
Cloud A,,Sammy,Lost,6/1/2019,New,40000,Sweden,Distributors
,,Susans,Lost,8/31/2016,Upsell,40000,Spain,Distributors
,,Susans,Lost,9/30/2015,Upsell,40000,United States,Distributors
,,Susans,Won,2/27/2015,Upsell,50000,United States,Distributors
,,Susans,Lost,6/30/2015,Upsell,50000,United States,Distributors
,,Susans,Lost,9/30/2015,Upsell,50000,United States,Distributors
,,Sammy,Won,3/31/2017,Upsell,50000,France,Distributors
,Partner,Tom,Won,4/17/2020,Renewal,50000,France,Distributors
On-Premise,,Tom,Won,4/23/2020,Upsell,50000,France,Distributors
,Partner,Sammy,Won,3/20/2019,Renewal,50000,France,Distributors
On-Premise,Web,Tom,Won,7/3/2019,New,50000,United States,Distributors
On-Premise,Web,Tom,Won,6/23/2021,Renewal,50000,United States,Distributors
,,Sammy,Won,3/29/2018,Renewal,50000,France,Distributors
On-Premise,Web,Larry,Proposal,7/2/2022,Renewal,75000,United States,Distributors
On-Premise,Web,Alex,Proposal,12/16/2022,Renewal,75000,India,Distributors
On-Premise,Web,Alex,Won,11/30/2019,New,75000,India,Distributors
On-Premise,Web,Alex,Won,12/22/2020,Renewal,75000,India,Distributors
On-Premise,Web,Alex,Won,12/18/2021,Renewal,75000,India,Distributors
,,Susans,Lost,8/31/2016,Upsell,75000,Brazil,Distributors
,,Susans,Lost,6/28/2019,New,75000,United States,Distributors
,,Susans,Lost,10/2/2015,Upsell,80000,United States,Distributors
,Web,Greg,Proposal,11/10/2022,Renewal,80000,Mauritius,Distributors
,Web,Tom,Won,10/27/2021,Renewal,80000,Mauritius,Distributors
Cloud A,Web,Alex,Validation,8/25/2022,New,90000,Australia,Distributors
On-Premise,Web,Alex,Lost,8/28/2020,New,90000,India,Distributors
,,Dave,Lost,9/30/2020,New,100000,Netherlands,Distributors
,,Susans,Lost,6/30/2016,Upsell,100000,United States,Distributors
,,Susans,Lost,12/14/2015,Upsell,100000,United States,Distributors
,,Tom,Lost,12/29/2017,New,100000,United States,Distributors
,,Tom,Lost,9/30/2015,Upsell,100000,United States,Distributors
Cloud C,,Greg,Proposal,12/16/2022,Renewal,100000,United Kingdom,Distributors
Cloud C,,Steve,Won,12/17/2021,New,100000,United Kingdom,Distributors
,Partner,Larry,Proposal,3/31/2022,Renewal,100000,France,Distributors
,Partner,Alex,Qualification,6/27/2022,New,100000,Singapore,Distributors
,,Susans,Lost,6/30/2016,Upsell,100000,United States,Distributors
,,Tom,Lost,3/15/2019,New,150000,United States,Distributors
,,Susans,Lost,4/18/2014,Upsell,150000,United States,Distributors
,,Susans,Lost,9/30/2015,Upsell,150000,United States,Distributors
Cloud C,,Larry,Proposal,6/15/2023,Renewal,150000,United Kingdom,Distributors
Cloud C,Partner,Steve,Won,12/8/2021,New,150000,United Kingdom,Distributors
,,Susans,Lost,4/30/2019,New,150000,Canada,Distributors
,,Susans,Lost,9/25/2015,Upsell,150000,United States,Distributors
,,Susans,Lost,12/18/2015,Upsell,200000,United States,Distributors
On-Premise,Web,Alex,Proposal,5/31/2022,Renewal,200000,India,Distributors
On-Premise,Web,Alex,Won,5/28/2021,Upsell,200000,India,Distributors
,,Nancy,Meeting,10/28/2022,New,200000,United States,Distributors
,Partner,Craig,Meeting,5/31/2022,New,200000,Spain,Distributors
,Partner,Fred,Meeting,8/31/2022,New,200000,United States,Distributors
Cloud B,Web,Craig,Requalify,1/31/2022,New,1000,Brazil,Distributors
,Web,Dave,Lost,7/1/2021,New,1000,Germany,Distributors
On-Premise,Web,Dave,Lost,4/1/2022,New,1000,United States,Distributors
,Event,Dave,Lost,4/1/2022,New,1000,United States,Distributors
,,Paul,Lost,7/31/2021,New,1000,United States,Distributors
,Partner,Steve,Lost,6/25/2021,New,1000,United States,Distributors
,Web,Steve,Lost,3/1/2021,New,1000,United States,Distributors
,Web,Steve,Lost,11/30/2021,New,1000,United States,Distributors
,,Susans,Lost,12/20/2017,Upsell,1000,United States,Distributors
,Partner,Susans,Lost,12/31/2016,Upsell,1000,United States,Distributors
,,Susans,Lost,2/19/2018,New,1000,United States,Distributors
Cloud B,,Susans,Lost,12/31/2018,New,1000,United States,Distributors
Cloud C,Web,Tom,Lost,10/30/2020,Renewal,1000,United States,Distributors
,Web,Tom,Lost,6/30/2021,New,1000,Canada,Distributors
Cloud B,Web,Tom,Lost,10/29/2020,New,1000,United States,Distributors
,,Susans,Lost,1/31/2017,Upsell,20000,United States,Distributors
On-Premise,,Susans,Won,8/8/2017,New,40000,United States,Distributors
Cloud B,Web,Steve,Lost,1/29/2021,New,40000,United Kingdom,Distributors
Cloud A,Web,Tom,Requalify,10/30/2020,New,50000,United States,Distributors
Cloud C,Web,Tom,Won,1/31/2020,New,50000,United States,Distributors
,Partner,Steve,Lost,6/19/2020,New,80000,United States,Distributors
Cloud C,,Tom,Lost,6/30/2020,New,100000,United States,Distributors
,,Susans,Lost,12/31/2018,New,100000,United States,Distributors
Cloud C,Partner,Paul,Won,4/29/2021,New,200000,United States,Distributors
Cloud C,Partner,Paul,Proposal,4/30/2022,Renewal,200000,United States,Distributors
,Web,Larry,Meeting,3/31/2022,New,200000,United States,Distributors
,Web,Mike,Meeting,3/31/2022,New,200000,United States,Distributors
Cloud B,Web,Sammy,Lost,2/28/2019,New,1000,New Zealand,Distributors
Cloud B,Web,Steve,Won,9/30/2021,New,1000,United Kingdom,Distributors
,,Susans,Lost,6/30/2016,Upsell,20000,United States,Utilities
Cloud B,Web,Mary,Qualification,9/30/2022,New,75000,United States,Utilities
Cloud B,Web,Nancy,Proposal,10/11/2022,Renewal,75000,United Kingdom,Utilities
,Web,Dave,Lost,4/1/2022,New,1000,Switzerland,Utilities
,Web,Dave,Lost,9/22/2021,New,1000,Netherlands,Utilities
,,Paul,Lost,7/24/2018,New,1000,United States,Utilities
,Web,Paul,Requalify,2/28/2022,New,1000,United States,Utilities
,Partner,Paul,Requalify,3/30/2022,New,1000,Canada,Utilities
,Web,Steve,Lost,12/24/2021,New,1000,United Kingdom,Utilities
,,Susans,Lost,9/29/2017,New,1000,United States,Utilities
,,Susans,Lost,12/31/2016,Upsell,1000,United States,Utilities
,,Susans,Lost,3/30/2018,New,1000,United States,Utilities
,Partner,Susans,Lost,5/10/2018,Upsell,1000,United States,Utilities
Cloud B,Partner,Nancy,Proposal,3/31/2022,New,10000,United States,Utilities
,,Susans,Won,12/30/2015,Upsell,20000,United States,Utilities
Cloud A,Web,Steve,Lost,10/25/2019,New,40000,United States,Utilities
,,Steve,Lost,12/18/2020,New,40000,United States,Utilities
Cloud B,Partner,Steve,Lost,9/24/2020,New,40000,United States,Utilities
,,Susans,Lost,9/30/2020,New,75000,United States,Utilities
,Partner,Larry,Meeting,5/18/2022,New,75000,Canada,Utilities
Cloud A,Partner,Dave,Lost,1/22/2021,New,150000,Switzerland,Utilities
,Partner,Nancy,Meeting,5/31/2022,New,150000,United States,Utilities
,Partner,Nancy,Meeting,9/30/2022,New,150000,United States,Utilities
Cloud A,,Susans,Lost,12/14/2018,New,150000,United States,Utilities
On-Premise,Web,Dave,Won,9/22/2021,New,150000,United States,Utilities
On-Premise,Web,Larry,Proposal,9/22/2022,Renewal,150000,United States,Utilities
Cloud A,Web,Susans,Lost,2/28/2020,New,200000,Germany,Utilities
Cloud A,,Dave,Lost,9/20/2018,New,1000,United States,Utilities
,,Paul,Lost,6/30/2017,New,1000,United States,Utilities
Cloud B,Partner,Steve,Lost,1/22/2021,New,1000,United States,Utilities
,,Steve,Lost,7/17/2019,New,1000,United States,Utilities
,,Susans,Lost,7/15/2018,New,1000,Thailand,Utilities
,,Susans,Lost,8/31/2017,Upsell,1000,United States,Utilities
Cloud B,Web,Tom,Lost,11/26/2020,New,1000,Egypt,Utilities
On-Premise,Web,Tom,Requalify,5/31/2021,New,1000,United States,Utilities
Cloud B,Web,Tom,Requalify,3/1/2021,New,1000,United States,Utilities
Cloud C,Web,Tom,Lost,9/30/2019,New,20000,United States,Utilities
Cloud A,Web,Charlie,Lost,9/16/2020,New,50000,United States,Utilities
Cloud C,Partner,Fred,Lost,9/30/2020,Partnership,50000,United States,Utilities
Cloud A,,Paul,Lost,10/6/2021,New,75000,United States,Utilities
Cloud C,Partner,Paul,Requalify,6/30/2022,New,100000,Canada,Utilities
Cloud B,,Paul,Lost,11/26/2021,New,100000,United States,Utilities
Cloud B,Partner,Steve,Lost,6/14/2019,New,100000,United States,Utilities
Cloud C,Partner,Tom,Lost,8/13/2021,New,100000,Spain,Utilities
Cloud C,Partner,Ben,Won,12/17/2021,New,150000,United States,Utilities
Cloud C,,Mary,Proposal,12/16/2022,Renewal,150000,United States,Utilities
,Web,Ben,Requalify,10/10/2021,New,1000,United States,Utilities
Cloud C,Partner,Dave,Lost,4/1/2022,New,1000,United States,Utilities
,,Paul,Lost,2/20/2021,New,1000,United States,Utilities
,,Susans,Lost,3/31/2016,Upsell,1000,United States,Utilities
On-Premise,Web,Susans,Lost,9/30/2019,New,1000,Bermuda,Utilities
,,Susans,Lost,12/26/2018,New,1000,United States,Utilities
,,Susans,Lost,11/23/2018,New,1000,United States,Utilities
,,Susans,Lost,6/29/2018,New,1000,United States,Utilities
,,Susans,Lost,12/31/2016,Upsell,1000,Hungary,Utilities
Cloud B,Web,Tom,Lost,6/30/2021,New,1000,Canada,Utilities
Cloud B,Partner,Tom,Won,4/24/2020,New,1000,Norway,Utilities
,,Alex,Lost,6/17/2020,New,40000,India,Utilities
Cloud B,Web,Craig,Proposal,12/31/2022,Renewal,40000,Colombia,Utilities
Cloud B,Web,Tom,Won,7/22/2020,Renewal,40000,Colombia,Utilities
Cloud B,Web,Tom,Won,7/11/2019,New,40000,Colombia,Utilities
Cloud B,,Alex,Lost,9/25/2020,New,40000,United Arab Emirates,Utilities
,Partner,Joe,Meeting,7/5/2022,New,40000,United States,Utilities
Cloud B,Web,Tom,Won,12/31/2021,Renewal,50000,Colombia,Utilities
Cloud A,Web,Susans,Lost,12/15/2020,New,50000,United States,Utilities
Cloud B,Partner,Greg,Proposal,4/24/2022,Renewal,50000,Norway,Utilities
Cloud B,Web,Paul,Won,9/16/2021,Upsell,50000,Canada,Utilities
Cloud B,Web,Paul,Won,9/16/2021,Renewal,50000,Canada,Utilities
,Partner,Craig,Meeting,5/31/2022,New,75000,Brazil,Utilities
Cloud A,Web,Dave,Lost,9/30/2020,New,75000,United States,Utilities
,Web,Dave,Lost,10/31/2019,New,75000,United States,Utilities
Cloud B,Web,Paul,Won,10/2/2020,New,75000,Canada,Utilities
,Web,Dave,Requalify,3/31/2022,New,75000,Luxembourg,Utilities
Cloud B,,Susans,Requalify,9/20/2019,New,80000,United States,Utilities
On-Premise,,Susans,Lost,10/14/2019,New,80000,United Kingdom,Utilities
Cloud B,,Dave,Lost,2/17/2021,New,80000,Denmark,Utilities
,,Susans,Lost,1/31/2018,New,80000,United States,Utilities
Cloud A,Web,Susans,Lost,7/11/2019,New,80000,United States,Utilities
,Web,Ed,Meeting,5/18/2022,New,100000,United States,Utilities
,Partner,Greg,Qualification,3/31/2022,Upsell,100000,Norway,Utilities
,,Susans,Lost,10/25/2015,Upsell,100000,United States,Utilities
Cloud B,Web,Susans,Lost,9/27/2019,New,100000,United Kingdom,Utilities
,,Susans,Lost,7/30/2015,,100000,United States,Utilities
,,Susans,Lost,6/29/2018,Upsell,100000,United States,Utilities
Cloud B,,Susans,Lost,9/6/2019,Upsell,100000,United Kingdom,Utilities
Cloud B,Web,Joe,Proposal,10/1/2022,Renewal,100000,Canada,Utilities
On-Premise,Web,Dave,Requalify,7/1/2022,New,150000,United States,Utilities
On-Premise,Web,Sammy,Proposal,11/22/2021,Renewal,150000,Turkey,Utilities
On-Premise,Web,Sammy,Won,11/22/2018,New,150000,Turkey,Utilities
On-Premise,Web,Sammy,Proposal,11/15/2021,Renewal,150000,Turkey,Utilities
,,Susans,Lost,6/30/2017,Upsell,150000,United States,Utilities
,Web,Sammy,Lost,4/30/2019,New,200000,Turkey,Utilities
,Web,Alex,Requalify,1/28/2021,New,1000,United States,Healthcare
Cloud B,,Alex,Requalify,10/30/2021,New,1000,India,Healthcare
Cloud C,Partner,Dave,Lost,6/29/2021,New,1000,Italy,Healthcare
,Web,Dave,Lost,1/5/2021,New,1000,Germany,Healthcare
,Web,Fred,Meeting,12/31/2021,New,1000,United States,Healthcare
,,Paul,Requalify,7/17/2019,New,1000,United States,Healthcare
,Partner,Paul,Requalify,3/11/2022,New,1000,United States,Healthcare
Cloud B,Partner,Paul,Lost,10/26/2018,New,1000,United States,Healthcare
On-Premise,Web,Paul,Lost,7/12/2021,New,1000,United States,Healthcare
Cloud C,Partner,Paul,Won,12/10/2020,Renewal,1000,United States,Healthcare
Cloud B,Partner,Steve,Lost,1/7/2021,New,1000,United States,Healthcare
On-Premise,Web,Steve,Lost,6/12/2019,New,1000,United States,Healthcare
,,Steve,Requalify,3/25/2022,Upsell,1000,United States,Healthcare
,Web,Steve,Lost,1/28/2021,New,1000,United States,Healthcare
On-Premise,Web,Steve,Won,7/16/2021,Renewal,1000,United States,Healthcare
Cloud B,Web,Steve,Lost,9/9/2021,New,1000,United States,Healthcare
Cloud B,Web,Steve,Lost,6/27/2019,New,1000,United States,Healthcare
,,Susans,Lost,1/31/2018,New,1000,United States,Healthcare
,,Susans,Lost,3/30/2018,Upsell,1000,United States,Healthcare
,,Susans,Lost,12/29/2016,Upsell,1000,United States,Healthcare
Cloud B,Partner,Susans,Lost,9/30/2019,New,1000,United States,Healthcare
On-Premise,,Susans,Lost,6/1/2018,New,1000,United States,Healthcare
,,Susans,Lost,6/22/2018,Upsell,1000,United States,Healthcare
,Web,Susans,Lost,12/30/2016,Upsell,1000,United States,Healthcare
,,Susans,Lost,3/26/2018,New,1000,United States,Healthcare
Cloud C,Partner,Susans,Lost,6/30/2019,New,1000,United States,Healthcare
,,Susans,Lost,12/31/2018,New,1000,United States,Healthcare
,,Susans,Lost,6/30/2016,Upsell,1000,United States,Healthcare
,,Susans,Lost,6/30/2016,Upsell,1000,United States,Healthcare
Cloud A,Web,Tom,Requalify,10/30/2020,New,1000,United States,Healthcare
Cloud B,Partner,Tom,Won,11/18/2020,New,1000,United States,Healthcare
,,Susans,Won,11/28/2017,Upsell,8000,United States,Healthcare
,,Dave,Won,12/10/2019,Renewal,10000,United States,Healthcare
,,Mary,Proposal,4/27/2022,Renewal,10000,United States,Healthcare
,,Susans,Won,11/15/2018,Renewal,10000,United States,Healthcare
,,Dave,Won,12/1/2020,Renewal,20000,United States,Healthcare
Cloud C,Partner,Susans,Lost,4/27/2020,Renewal,40000,United States,Healthcare
Cloud B,Web,Steve,Lost,11/27/2020,New,40000,United States,Healthcare
,,Susans,Lost,11/30/2015,Upsell,40000,United States,Healthcare
